Gene stable ID	Gene name	Gene description	NCBI gene (formerly Entrezgene) ID
ENSMUSG00000052957	Gas1	growth arrest specific 1 [Source:MGI Symbol;Acc:MGI:95655]	14451
ENSMUSG00000053004	Hrh1	histamine receptor H1 [Source:MGI Symbol;Acc:MGI:107619]	15465
ENSMUSG00000053007	Creb5	cAMP responsive element binding protein 5 [Source:MGI Symbol;Acc:MGI:2443973]	231991
ENSMUSG00000053062	Jam2	junction adhesion molecule 2 [Source:MGI Symbol;Acc:MGI:1933820]	67374
ENSMUSG00000053063	Clec12a	C-type lectin domain family 12, member a [Source:MGI Symbol;Acc:MGI:3040968]	232413
ENSMUSG00000053113	Socs3	suppressor of cytokine signaling 3 [Source:MGI Symbol;Acc:MGI:1201791]	12702
ENSMUSG00000053137	Mapk11	mitogen-activated protein kinase 11 [Source:MGI Symbol;Acc:MGI:1338024]	19094
ENSMUSG00000053141	Ptprt	protein tyrosine phosphatase, receptor type, T [Source:MGI Symbol;Acc:MGI:1321152]	19281
ENSMUSG00000053153	Spag16	sperm associated antigen 16 [Source:MGI Symbol;Acc:MGI:1913972]	66722
ENSMUSG00000053158	Fes	feline sarcoma oncogene [Source:MGI Symbol;Acc:MGI:95514]	14159
ENSMUSG00000053310	Nrgn	neurogranin [Source:MGI Symbol;Acc:MGI:1927184]	64011
ENSMUSG00000053318	Slamf8	SLAM family member 8 [Source:MGI Symbol;Acc:MGI:1921998]	74748
ENSMUSG00000053398	Phgdh	3-phosphoglycerate dehydrogenase [Source:MGI Symbol;Acc:MGI:1355330]	236539
ENSMUSG00000053399	Adamts18	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 18 [Source:MGI Symbol;Acc:MGI:2442600]	208936
ENSMUSG00000053465	Hs6st3	heparan sulfate 6-O-sulfotransferase 3 [Source:MGI Symbol;Acc:MGI:1354960]	50787
ENSMUSG00000053469	Tg	thyroglobulin [Source:MGI Symbol;Acc:MGI:98733]	21819
ENSMUSG00000053475	Tnfaip6	tumor necrosis factor alpha induced protein 6 [Source:MGI Symbol;Acc:MGI:1195266]	21930
ENSMUSG00000053477	Tcf4	transcription factor 4 [Source:MGI Symbol;Acc:MGI:98506]	21413
ENSMUSG00000053559	Smagp	small cell adhesion glycoprotein [Source:MGI Symbol;Acc:MGI:2448476]	207818
ENSMUSG00000053560	Ier2	immediate early response 2 [Source:MGI Symbol;Acc:MGI:104815]	15936
ENSMUSG00000053593	Fate1	fetal and adult testis expressed 1 [Source:MGI Symbol;Acc:MGI:1925155]	
ENSMUSG00000053626	Tll1	tolloid-like [Source:MGI Symbol;Acc:MGI:106923]	21892
ENSMUSG00000053702	Nebl	nebulette [Source:MGI Symbol;Acc:MGI:1921353]	74103
ENSMUSG00000053825	Ppfia2	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 2 [Source:MGI Symbol;Acc:MGI:2443834]	327814
ENSMUSG00000053907	Mat2a	methionine adenosyltransferase II, alpha [Source:MGI Symbol;Acc:MGI:2443731]	232087
ENSMUSG00000053931	Cnn3	calponin 3, acidic [Source:MGI Symbol;Acc:MGI:1919244]	71994
ENSMUSG00000053977	Cd8a	CD8 antigen, alpha chain [Source:MGI Symbol;Acc:MGI:88346]	12525
ENSMUSG00000054146	Krt15	keratin 15 [Source:MGI Symbol;Acc:MGI:96689]	16665
ENSMUSG00000054162	Spock3	sparc/osteonectin, cwcv and kazal-like domains proteoglycan 3 [Source:MGI Symbol;Acc:MGI:1920152]	72902
ENSMUSG00000054206	Gzmm	granzyme M (lymphocyte met-ase 1) [Source:MGI Symbol;Acc:MGI:99549]	16904
ENSMUSG00000054252	Fgfr3	fibroblast growth factor receptor 3 [Source:MGI Symbol;Acc:MGI:95524]	14184
ENSMUSG00000054321	Taf4b	TATA-box binding protein associated factor 4b [Source:MGI Symbol;Acc:MGI:2152345]	72504
ENSMUSG00000054342	Kcnn4	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4 [Source:MGI Symbol;Acc:MGI:1277957]	16534
ENSMUSG00000054360	Bsx	brain specific homeobox [Source:MGI Symbol;Acc:MGI:2669849]	244813
ENSMUSG00000054364	Rhob	ras homolog family member B [Source:MGI Symbol;Acc:MGI:107949]	11852
ENSMUSG00000054404	Slfn5	schlafen 5 [Source:MGI Symbol;Acc:MGI:1329004]	327978
ENSMUSG00000054422	Fabp1	fatty acid binding protein 1, liver [Source:MGI Symbol;Acc:MGI:95479]	14080
ENSMUSG00000054435	Gimap4	GTPase, IMAP family member 4 [Source:MGI Symbol;Acc:MGI:1349656]	107526
ENSMUSG00000054446	Cpa1	carboxypeptidase A1, pancreatic [Source:MGI Symbol;Acc:MGI:88478]	109697
ENSMUSG00000054555	Adam12	a disintegrin and metallopeptidase domain 12 (meltrin alpha) [Source:MGI Symbol;Acc:MGI:105378]	11489
ENSMUSG00000054580	Pla2r1	phospholipase A2 receptor 1 [Source:MGI Symbol;Acc:MGI:102468]	18779
ENSMUSG00000054640	Slc8a1	solute carrier family 8 (sodium/calcium exchanger), member 1 [Source:MGI Symbol;Acc:MGI:107956]	20541
ENSMUSG00000054675	Tmem119	transmembrane protein 119 [Source:MGI Symbol;Acc:MGI:2385228]	231633
ENSMUSG00000054690	Emcn	endomucin [Source:MGI Symbol;Acc:MGI:1891716]	59308
ENSMUSG00000054717	Hmgb2	high mobility group box 2 [Source:MGI Symbol;Acc:MGI:96157]	97165
ENSMUSG00000054843	Atrnl1	attractin like 1 [Source:MGI Symbol;Acc:MGI:2147749]	226255
ENSMUSG00000054855	Rnd1	Rho family GTPase 1 [Source:MGI Symbol;Acc:MGI:2444878]	223881
ENSMUSG00000054871	Tmem158	transmembrane protein 158 [Source:MGI Symbol;Acc:MGI:1919559]	72309
ENSMUSG00000054889	Dsp	desmoplakin [Source:MGI Symbol;Acc:MGI:109611]	109620
ENSMUSG00000054892	Txk	TXK tyrosine kinase [Source:MGI Symbol;Acc:MGI:102960]	22165
ENSMUSG00000054932	Afp	alpha fetoprotein [Source:MGI Symbol;Acc:MGI:87951]	11576
ENSMUSG00000054951	9130008F23Rik	RIKEN cDNA 9130008F23 gene [Source:MGI Symbol;Acc:MGI:1918833]	71583
ENSMUSG00000055013	Agap1	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1 [Source:MGI Symbol;Acc:MGI:2653690]	347722
ENSMUSG00000055022	Cntn1	contactin 1 [Source:MGI Symbol;Acc:MGI:105980]	12805
ENSMUSG00000055044	Pdlim1	PDZ and LIM domain 1 (elfin) [Source:MGI Symbol;Acc:MGI:1860611]	54132
ENSMUSG00000055067	Smyd3	SET and MYND domain containing 3 [Source:MGI Symbol;Acc:MGI:1916976]	69726
ENSMUSG00000055148	Klf2	Kruppel-like factor 2 (lung) [Source:MGI Symbol;Acc:MGI:1342772]	16598
ENSMUSG00000055170	Ifng	interferon gamma [Source:MGI Symbol;Acc:MGI:107656]	15978
ENSMUSG00000055235	Wdr86	WD repeat domain 86 [Source:MGI Symbol;Acc:MGI:1915466]	269633
ENSMUSG00000055322	Tns1	tensin 1 [Source:MGI Symbol;Acc:MGI:104552]	21961
ENSMUSG00000055421	Pcdh9	protocadherin 9 [Source:MGI Symbol;Acc:MGI:1306801]	211712
ENSMUSG00000055430	Nap1l5	nucleosome assembly protein 1-like 5 [Source:MGI Symbol;Acc:MGI:1923555]	58243
ENSMUSG00000055435	Maf	avian musculoaponeurotic fibrosarcoma oncogene homolog [Source:MGI Symbol;Acc:MGI:96909]	17132
ENSMUSG00000055471	Alk	anaplastic lymphoma kinase [Source:MGI Symbol;Acc:MGI:103305]	11682
ENSMUSG00000055538	Zcchc24	zinc finger, CCHC domain containing 24 [Source:MGI Symbol;Acc:MGI:1919168]	71918
ENSMUSG00000055540	Epha6	Eph receptor A6 [Source:MGI Symbol;Acc:MGI:108034]	13840
ENSMUSG00000055546	Timd4	T cell immunoglobulin and mucin domain containing 4 [Source:MGI Symbol;Acc:MGI:2445125]	276891
ENSMUSG00000055561	Spink5	serine peptidase inhibitor, Kazal type 5 [Source:MGI Symbol;Acc:MGI:1919682]	72432
ENSMUSG00000055612	Cdca7	cell division cycle associated 7 [Source:MGI Symbol;Acc:MGI:1914203]	66953
ENSMUSG00000055632	Hmcn2	hemicentin 2 [Source:MGI Symbol;Acc:MGI:2677838]	665700
ENSMUSG00000055639	Dach1	dachshund family transcription factor 1 [Source:MGI Symbol;Acc:MGI:1277991]	13134
ENSMUSG00000055653	Gpc3	glypican 3 [Source:MGI Symbol;Acc:MGI:104903]	14734
ENSMUSG00000055691	Gja6	gap junction protein, alpha 6 [Source:MGI Symbol;Acc:MGI:95717]	414089
ENSMUSG00000055761	Nkain3	Na+/K+ transporting ATPase interacting 3 [Source:MGI Symbol;Acc:MGI:2444830]	269513
ENSMUSG00000055805	Fmnl1	formin-like 1 [Source:MGI Symbol;Acc:MGI:1888994]	57778
ENSMUSG00000055994	Nod2	nucleotide-binding oligomerization domain containing 2 [Source:MGI Symbol;Acc:MGI:2429397]	257632
ENSMUSG00000056054	S100a8	S100 calcium binding protein A8 (calgranulin A) [Source:MGI Symbol;Acc:MGI:88244]	20201
ENSMUSG00000056073	Grik2	glutamate receptor, ionotropic, kainate 2 (beta 2) [Source:MGI Symbol;Acc:MGI:95815]	14806
ENSMUSG00000056121	Fez2	fasciculation and elongation protein zeta 2 (zygin II) [Source:MGI Symbol;Acc:MGI:2675856]	225020
ENSMUSG00000056209	Npm3	nucleoplasmin 3 [Source:MGI Symbol;Acc:MGI:894653]	18150
ENSMUSG00000056220	Pla2g4a	phospholipase A2, group IVA (cytosolic, calcium-dependent) [Source:MGI Symbol;Acc:MGI:1195256]	18783
ENSMUSG00000056258	Kcnq3	potassium voltage-gated channel, subfamily Q, member 3 [Source:MGI Symbol;Acc:MGI:1336181]	110862
ENSMUSG00000056413	Adap1	ArfGAP with dual PH domains 1 [Source:MGI Symbol;Acc:MGI:2442201]	231821
ENSMUSG00000056427	Slit3	slit guidance ligand 3 [Source:MGI Symbol;Acc:MGI:1315202]	20564
ENSMUSG00000056481	Cd248	CD248 antigen, endosialin [Source:MGI Symbol;Acc:MGI:1917695]	70445
ENSMUSG00000056498	Tmem154	transmembrane protein 154 [Source:MGI Symbol;Acc:MGI:2444725]	320782
ENSMUSG00000056501	Cebpb	CCAAT/enhancer binding protein (C/EBP), beta [Source:MGI Symbol;Acc:MGI:88373]	12608
ENSMUSG00000056515	Rab31	RAB31, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:1914603]	106572
ENSMUSG00000056529	Ptafr	platelet-activating factor receptor [Source:MGI Symbol;Acc:MGI:106066]	19204
ENSMUSG00000056569	Mpz	myelin protein zero [Source:MGI Symbol;Acc:MGI:103177]	17528
ENSMUSG00000056708	Ier5	immediate early response 5 [Source:MGI Symbol;Acc:MGI:1337072]	15939
ENSMUSG00000056737	Capg	capping protein (actin filament), gelsolin-like [Source:MGI Symbol;Acc:MGI:1098259]	12332
ENSMUSG00000056755	Grm7	glutamate receptor, metabotropic 7 [Source:MGI Symbol;Acc:MGI:1351344]	108073
ENSMUSG00000056870	Gulp1	GULP, engulfment adaptor PTB domain containing 1 [Source:MGI Symbol;Acc:MGI:1920407]	70676
ENSMUSG00000056888	Glipr1	GLI pathogenesis-related 1 (glioma) [Source:MGI Symbol;Acc:MGI:1920940]	73690
ENSMUSG00000056899	Immp2l	IMP2 inner mitochondrial membrane peptidase-like (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:2135611]	93757
ENSMUSG00000056917	Sipa1	signal-induced proliferation associated gene 1 [Source:MGI Symbol;Acc:MGI:107576]	20469
ENSMUSG00000056947	Mab21l1	mab-21-like 1 [Source:MGI Symbol;Acc:MGI:1333773]	17116
ENSMUSG00000057058	Skap1	src family associated phosphoprotein 1 [Source:MGI Symbol;Acc:MGI:1925723]	78473
ENSMUSG00000057060	Slc35f3	solute carrier family 35, member F3 [Source:MGI Symbol;Acc:MGI:2444426]	210027
ENSMUSG00000057092	Fxyd3	FXYD domain-containing ion transport regulator 3 [Source:MGI Symbol;Acc:MGI:107497]	17178
ENSMUSG00000057098	Ebf1	early B cell factor 1 [Source:MGI Symbol;Acc:MGI:95275]	13591
ENSMUSG00000057123	Gja5	gap junction protein, alpha 5 [Source:MGI Symbol;Acc:MGI:95716]	14613
ENSMUSG00000057132	Rpgrip1	retinitis pigmentosa GTPase regulator interacting protein 1 [Source:MGI Symbol;Acc:MGI:1932134]	77945
ENSMUSG00000057135	Scimp	SLP adaptor and CSK interacting membrane protein [Source:MGI Symbol;Acc:MGI:3610314]	327957
ENSMUSG00000057137	Tmem140	transmembrane protein 140 [Source:MGI Symbol;Acc:MGI:1915737]	68487
ENSMUSG00000057191	AB124611	cDNA sequence AB124611 [Source:MGI Symbol;Acc:MGI:3043001]	382062
ENSMUSG00000057193	Slc44a2	solute carrier family 44, member 2 [Source:MGI Symbol;Acc:MGI:1915932]	68682
ENSMUSG00000057286	St6galnac2	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2 [Source:MGI Symbol;Acc:MGI:107553]	20446
ENSMUSG00000057315	Arhgap24	Rho GTPase activating protein 24 [Source:MGI Symbol;Acc:MGI:1922647]	231532
ENSMUSG00000057329	Bcl2	B cell leukemia/lymphoma 2 [Source:MGI Symbol;Acc:MGI:88138]	12043
ENSMUSG00000057337	Chst3	carbohydrate sulfotransferase 3 [Source:MGI Symbol;Acc:MGI:1858224]	53374
ENSMUSG00000057378	Ryr3	ryanodine receptor 3 [Source:MGI Symbol;Acc:MGI:99684]	20192
ENSMUSG00000057440	Mpp7	membrane protein, palmitoylated 7 (MAGUK p55 subfamily member 7) [Source:MGI Symbol;Acc:MGI:1922989]	75739
ENSMUSG00000057604	Lmcd1	LIM and cysteine-rich domains 1 [Source:MGI Symbol;Acc:MGI:1353635]	30937
ENSMUSG00000057716	Tmem178b	transmembrane protein 178B [Source:MGI Symbol;Acc:MGI:3647581]	434008
ENSMUSG00000057719	Sh3rf2	SH3 domain containing ring finger 2 [Source:MGI Symbol;Acc:MGI:2444628]	269016
ENSMUSG00000057722	Lepr	leptin receptor [Source:MGI Symbol;Acc:MGI:104993]	16847
ENSMUSG00000057777	Mab21l2	mab-21-like 2 [Source:MGI Symbol;Acc:MGI:1346022]	23937
ENSMUSG00000057778	Cyb5d2	cytochrome b5 domain containing 2 [Source:MGI Symbol;Acc:MGI:2684848]	192986
ENSMUSG00000057914	Cacnb2	calcium channel, voltage-dependent, beta 2 subunit [Source:MGI Symbol;Acc:MGI:894644]	12296
ENSMUSG00000057948	Unc13d	unc-13 homolog D [Source:MGI Symbol;Acc:MGI:1917700]	70450
ENSMUSG00000057967	Fgf18	fibroblast growth factor 18 [Source:MGI Symbol;Acc:MGI:1277980]	14172
ENSMUSG00000058056	Palld	palladin, cytoskeletal associated protein [Source:MGI Symbol;Acc:MGI:1919583]	72333
ENSMUSG00000058070	Eml1	echinoderm microtubule associated protein like 1 [Source:MGI Symbol;Acc:MGI:1915769]	68519
ENSMUSG00000058099	Nfam1	Nfat activating molecule with ITAM motif 1 [Source:MGI Symbol;Acc:MGI:1921289]	74039
ENSMUSG00000058152	Chsy3	chondroitin sulfate synthase 3 [Source:MGI Symbol;Acc:MGI:1926173]	78923
ENSMUSG00000058290	Espl1	extra spindle pole bodies 1, separase [Source:MGI Symbol;Acc:MGI:2146156]	105988
ENSMUSG00000058297	Spock2	sparc/osteonectin, cwcv and kazal-like domains proteoglycan 2 [Source:MGI Symbol;Acc:MGI:1891351]	94214
ENSMUSG00000058571	Gpc6	glypican 6 [Source:MGI Symbol;Acc:MGI:1346322]	23888
ENSMUSG00000058589	Anks1b	ankyrin repeat and sterile alpha motif domain containing 1B [Source:MGI Symbol;Acc:MGI:1924781]	77531
ENSMUSG00000058624	Gda	guanine deaminase [Source:MGI Symbol;Acc:MGI:95678]	14544
ENSMUSG00000058656	Samd12	sterile alpha motif domain containing 12 [Source:MGI Symbol;Acc:MGI:2444518]	320679
ENSMUSG00000058672	Tubb2a	tubulin, beta 2A class IIA [Source:MGI Symbol;Acc:MGI:107861]	22151
ENSMUSG00000058715	Fcer1g	Fc receptor, IgE, high affinity I, gamma polypeptide [Source:MGI Symbol;Acc:MGI:95496]	14127
ENSMUSG00000058755	Osm	oncostatin M [Source:MGI Symbol;Acc:MGI:104749]	18413
ENSMUSG00000058794	Nfe2	nuclear factor, erythroid derived 2 [Source:MGI Symbol;Acc:MGI:97308]	18022
ENSMUSG00000058806	Col13a1	collagen, type XIII, alpha 1 [Source:MGI Symbol;Acc:MGI:1277201]	12817
ENSMUSG00000058897	Col25a1	collagen, type XXV, alpha 1 [Source:MGI Symbol;Acc:MGI:1924268]	77018
ENSMUSG00000059003	Grin2a	glutamate receptor, ionotropic, NMDA2A (epsilon 1) [Source:MGI Symbol;Acc:MGI:95820]	14811
ENSMUSG00000059013	Sh2d3c	SH2 domain containing 3C [Source:MGI Symbol;Acc:MGI:1351631]	27387
ENSMUSG00000059060	Rad51b	RAD51 paralog B [Source:MGI Symbol;Acc:MGI:1099436]	19363
ENSMUSG00000059146	Ntrk3	neurotrophic tyrosine kinase, receptor, type 3 [Source:MGI Symbol;Acc:MGI:97385]	18213
ENSMUSG00000059146	Ntrk3	neurotrophic tyrosine kinase, receptor, type 3 [Source:MGI Symbol;Acc:MGI:97385]	414121
ENSMUSG00000059173	Pde1a	phosphodiesterase 1A, calmodulin-dependent [Source:MGI Symbol;Acc:MGI:1201792]	18573
ENSMUSG00000059325	Hopx	HOP homeobox [Source:MGI Symbol;Acc:MGI:1916782]	74318
ENSMUSG00000059336	Slc14a1	solute carrier family 14 (urea transporter), member 1 [Source:MGI Symbol;Acc:MGI:1351654]	108052
ENSMUSG00000059412	Fxyd2	FXYD domain-containing ion transport regulator 2 [Source:MGI Symbol;Acc:MGI:1195260]	11936
ENSMUSG00000059430	Actg2	actin, gamma 2, smooth muscle, enteric [Source:MGI Symbol;Acc:MGI:104589]	11468
ENSMUSG00000059439	Bcas3	BCAS3 microtubule associated cell migration factor [Source:MGI Symbol;Acc:MGI:2385848]	192197
ENSMUSG00000059493	Nhs	NHS actin remodeling regulator [Source:MGI Symbol;Acc:MGI:2684894]	195727
ENSMUSG00000059588	Calcrl	calcitonin receptor-like [Source:MGI Symbol;Acc:MGI:1926944]	54598
ENSMUSG00000059602	Syn3	synapsin III [Source:MGI Symbol;Acc:MGI:1351334]	27204
ENSMUSG00000059668	Krt4	keratin 4 [Source:MGI Symbol;Acc:MGI:96701]	16682
ENSMUSG00000059674	Cdh24	cadherin-like 24 [Source:MGI Symbol;Acc:MGI:1928330]	239096
ENSMUSG00000059742	Kcnh7	potassium voltage-gated channel, subfamily H (eag-related), member 7 [Source:MGI Symbol;Acc:MGI:2159566]	170738
ENSMUSG00000059810	Rgs3	regulator of G-protein signaling 3 [Source:MGI Symbol;Acc:MGI:1354734]	50780
ENSMUSG00000059824	Dbp	D site albumin promoter binding protein [Source:MGI Symbol;Acc:MGI:94866]	13170
ENSMUSG00000059857	Ntng1	netrin G1 [Source:MGI Symbol;Acc:MGI:1934028]	80883
ENSMUSG00000059898	Dsc3	desmocollin 3 [Source:MGI Symbol;Acc:MGI:1194993]	13507
ENSMUSG00000059921	Unc5c	unc-5 netrin receptor C [Source:MGI Symbol;Acc:MGI:1095412]	22253
ENSMUSG00000059956	Serpinb12	serine (or cysteine) peptidase inhibitor, clade B (ovalbumin), member 12 [Source:MGI Symbol;Acc:MGI:1919119]	71869
ENSMUSG00000060044	Tmem26	transmembrane protein 26 [Source:MGI Symbol;Acc:MGI:2143537]	327766
ENSMUSG00000060063	Alox5ap	arachidonate 5-lipoxygenase activating protein [Source:MGI Symbol;Acc:MGI:107505]	11690
ENSMUSG00000060131	Atp8b4	ATPase, class I, type 8B, member 4 [Source:MGI Symbol;Acc:MGI:1859664]	241633
ENSMUSG00000060180	Myh13	myosin, heavy polypeptide 13, skeletal muscle [Source:MGI Symbol;Acc:MGI:1339967]	544791
ENSMUSG00000060240	Cend1	cell cycle exit and neuronal differentiation 1 [Source:MGI Symbol;Acc:MGI:1929898]	57754
ENSMUSG00000060371	Caln1	calneuron 1 [Source:MGI Symbol;Acc:MGI:2155987]	140904
ENSMUSG00000060429	Sntb1	syntrophin, basic 1 [Source:MGI Symbol;Acc:MGI:101781]	20649
ENSMUSG00000060477	Irak2	interleukin-1 receptor-associated kinase 2 [Source:MGI Symbol;Acc:MGI:2429603]	108960
ENSMUSG00000060487	Samd5	sterile alpha motif domain containing 5 [Source:MGI Symbol;Acc:MGI:2444815]	320825
ENSMUSG00000060509	Xcr1	chemokine (C motif) receptor 1 [Source:MGI Symbol;Acc:MGI:1346338]	23832
ENSMUSG00000060534	Dcc	deleted in colorectal carcinoma [Source:MGI Symbol;Acc:MGI:94869]	13176
ENSMUSG00000060572	Mfap2	microfibrillar-associated protein 2 [Source:MGI Symbol;Acc:MGI:99559]	17150
ENSMUSG00000060579	Fhit	fragile histidine triad gene [Source:MGI Symbol;Acc:MGI:1277947]	14198
ENSMUSG00000060594	Layn	layilin [Source:MGI Symbol;Acc:MGI:2685357]	244864
ENSMUSG00000060600	Eno3	enolase 3, beta muscle [Source:MGI Symbol;Acc:MGI:95395]	13808
ENSMUSG00000060703	Cd302	CD302 antigen [Source:MGI Symbol;Acc:MGI:1913455]	66205
ENSMUSG00000060780	Lrrtm1	leucine rich repeat transmembrane neuronal 1 [Source:MGI Symbol;Acc:MGI:2389173]	74342
ENSMUSG00000060843	Ctnna3	catenin (cadherin associated protein), alpha 3 [Source:MGI Symbol;Acc:MGI:2661445]	216033
ENSMUSG00000060882	Kcnd2	potassium voltage-gated channel, Shal-related family, member 2 [Source:MGI Symbol;Acc:MGI:102663]	16508
ENSMUSG00000060924	Csmd1	CUB and Sushi multiple domains 1 [Source:MGI Symbol;Acc:MGI:2137383]	94109
ENSMUSG00000060961	Slc4a4	solute carrier family 4 (anion exchanger), member 4 [Source:MGI Symbol;Acc:MGI:1927555]	54403
ENSMUSG00000060969	Irx1	Iroquois homeobox 1 [Source:MGI Symbol;Acc:MGI:1197515]	16371
ENSMUSG00000060988	Galnt13	polypeptide N-acetylgalactosaminyltransferase 13 [Source:MGI Symbol;Acc:MGI:2139447]	271786
ENSMUSG00000061080	Lsamp	limbic system-associated membrane protein [Source:MGI Symbol;Acc:MGI:1261760]	268890
ENSMUSG00000061086	Myl4	myosin, light polypeptide 4 [Source:MGI Symbol;Acc:MGI:97267]	17896
ENSMUSG00000061119	Prcp	prolylcarboxypeptidase (angiotensinase C) [Source:MGI Symbol;Acc:MGI:1919711]	72461
ENSMUSG00000061132	Blnk	B cell linker [Source:MGI Symbol;Acc:MGI:96878]	17060
ENSMUSG00000061143	Maml3	mastermind like transcriptional coactivator 3 [Source:MGI Symbol;Acc:MGI:2389461]	433586
ENSMUSG00000061171	Slc38a11	solute carrier family 38, member 11 [Source:MGI Symbol;Acc:MGI:2443383]	320106
ENSMUSG00000061175	Fnip2	folliculin interacting protein 2 [Source:MGI Symbol;Acc:MGI:2683054]	329679
ENSMUSG00000061186	Sfmbt2	Scm-like with four mbt domains 2 [Source:MGI Symbol;Acc:MGI:2447794]	353282
ENSMUSG00000061259	Tmprss11d	transmembrane protease, serine 11d [Source:MGI Symbol;Acc:MGI:2385221]	231382
ENSMUSG00000061298	Agbl4	ATP/GTP binding protein-like 4 [Source:MGI Symbol;Acc:MGI:1918244]	78933
ENSMUSG00000061353	Cxcl12	chemokine (C-X-C motif) ligand 12 [Source:MGI Symbol;Acc:MGI:103556]	20315
ENSMUSG00000061535	C1qtnf7	C1q and tumor necrosis factor related protein 7 [Source:MGI Symbol;Acc:MGI:1925911]	109323
ENSMUSG00000061576	Dpp6	dipeptidylpeptidase 6 [Source:MGI Symbol;Acc:MGI:94921]	13483
ENSMUSG00000061589	Dot1l	DOT1-like, histone H3 methyltransferase (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:2143886]	208266
ENSMUSG00000061613	U2af1	U2 small nuclear ribonucleoprotein auxiliary factor (U2AF) 1 [Source:MGI Symbol;Acc:MGI:98884]	108121
ENSMUSG00000061718	Ppp1r1b	protein phosphatase 1, regulatory inhibitor subunit 1B [Source:MGI Symbol;Acc:MGI:94860]	19049
ENSMUSG00000061731	Ext1	exostosin glycosyltransferase 1 [Source:MGI Symbol;Acc:MGI:894663]	14042
ENSMUSG00000061751	Kalrn	kalirin, RhoGEF kinase [Source:MGI Symbol;Acc:MGI:2685385]	545156
ENSMUSG00000061762	Tac1	tachykinin 1 [Source:MGI Symbol;Acc:MGI:98474]	21333
ENSMUSG00000061815	Rufy4	RUN and FYVE domain containing 4 [Source:MGI Symbol;Acc:MGI:3588214]	435626
ENSMUSG00000061878	Sphk1	sphingosine kinase 1 [Source:MGI Symbol;Acc:MGI:1316649]	20698
ENSMUSG00000062007	Hsh2d	hematopoietic SH2 domain containing [Source:MGI Symbol;Acc:MGI:2676364]	209488
ENSMUSG00000062078	Qki	quaking, KH domain containing RNA binding [Source:MGI Symbol;Acc:MGI:97837]	19317
ENSMUSG00000062127	Cttnbp2nl	CTTNBP2 N-terminal like [Source:MGI Symbol;Acc:MGI:1933137]	80281
ENSMUSG00000062154	Tex33	testis expressed 33 [Source:MGI Symbol;Acc:MGI:1920626]	73376
ENSMUSG00000062170	Fmr1nb	Fmr1 neighbor [Source:MGI Symbol;Acc:MGI:2672032]	207854
ENSMUSG00000062175	Tgif2	TGFB-induced factor homeobox 2 [Source:MGI Symbol;Acc:MGI:1915299]	228839
ENSMUSG00000062184	Hs6st2	heparan sulfate 6-O-sulfotransferase 2 [Source:MGI Symbol;Acc:MGI:1354959]	50786
ENSMUSG00000062202	Btbd9	BTB (POZ) domain containing 9 [Source:MGI Symbol;Acc:MGI:1916625]	224671
ENSMUSG00000062209	Erbb4	erb-b2 receptor tyrosine kinase 4 [Source:MGI Symbol;Acc:MGI:104771]	13869
ENSMUSG00000062210	Tnfaip8	tumor necrosis factor, alpha-induced protein 8 [Source:MGI Symbol;Acc:MGI:2147191]	106869
ENSMUSG00000062232	Rapgef2	Rap guanine nucleotide exchange factor (GEF) 2 [Source:MGI Symbol;Acc:MGI:2659071]	76089
ENSMUSG00000062248	Cks2	CDC28 protein kinase regulatory subunit 2 [Source:MGI Symbol;Acc:MGI:1913447]	66197
ENSMUSG00000062257	Opcml	opioid binding protein/cell adhesion molecule-like [Source:MGI Symbol;Acc:MGI:97397]	330908
ENSMUSG00000062329	Cytl1	cytokine-like 1 [Source:MGI Symbol;Acc:MGI:2684993]	231162
ENSMUSG00000062345	Serpinb2	serine (or cysteine) peptidase inhibitor, clade B, member 2 [Source:MGI Symbol;Acc:MGI:97609]	18788
ENSMUSG00000062380	Tubb3	tubulin, beta 3 class III [Source:MGI Symbol;Acc:MGI:107813]	22152
ENSMUSG00000062515	Fabp4	fatty acid binding protein 4, adipocyte [Source:MGI Symbol;Acc:MGI:88038]	11770
ENSMUSG00000062585	Cnr2	cannabinoid receptor 2 (macrophage) [Source:MGI Symbol;Acc:MGI:104650]	12802
ENSMUSG00000062694	Cav3	caveolin 3 [Source:MGI Symbol;Acc:MGI:107570]	12391
ENSMUSG00000062773	Tex101	testis expressed gene 101 [Source:MGI Symbol;Acc:MGI:1930791]	56746
ENSMUSG00000062822	4833420G17Rik	RIKEN cDNA 4833420G17 gene [Source:MGI Symbol;Acc:MGI:1914642]	67392
ENSMUSG00000062939	Stat4	signal transducer and activator of transcription 4 [Source:MGI Symbol;Acc:MGI:103062]	20849
ENSMUSG00000062960	Kdr	kinase insert domain protein receptor [Source:MGI Symbol;Acc:MGI:96683]	16542
